Category,Current Tool Value,Scope Document Value,Unit,Delta,Integration Action,Priority,Multi-Dependency Impact
powerW → conduit SIZE → conduit COST,"Currently: conduit is flat $1.77/ft regardless of power","Should be: ≤1000W = 3/4"" ($0.90), ≤2000W = 1"" ($2.50), ≤3500W = 2"" ($8.00), >3500W = 4"" ($18.00)",,,Scale conduit cost with power like cable is already scaled,Critical,"powerW drives BOTH cable gauge AND conduit size — currently only cable is modeled correctly"
powerW → conductor COUNT,"Currently: single conductor priced","Should be: small loads (1P) = ×3 wires, larger loads (3P) = ×5 wires",,,"Add wire count multiplier: ≤2000W use 1-phase (×3), >2000W use 3-phase (×5)",High,Compounds with AWG rate to determine true cable material cost
distanceFt → pull box count,"Not modeled","NEC requires pull boxes every ~100ft or after cumulative 360° bends. Scope shows 4 boxes for 174ft (1 per ~44ft)",,,Add pull box material: ceil(distanceFt / 100) × $250 for AC,Medium,Adds material cost that scales with distance
distanceFt → core drill count,"Not modeled","Scope shows 6 cores for 174ft vertical+horizontal. Scales roughly 1 per 30ft of routing that crosses fire barriers",,,Optional: add penetration count as user input or estimate,Low,Adds labor + firestop material
installationType → PRIMARY DISTRIBUTION requirement,"Not modeled","Only AC requires MER feeder run. CL2/CL4 originate from local head-end, no MER feeder needed",,,Model MER→Floor feeder as AC-only cost adder (~$14k for typical 174ft riser),High,"Major AC cost that CL2/CL4 avoid entirely — currently missing from comparison, biases tool toward AC"
crewSize → REALISTIC crew composition,"Currently: uniform crew","Scope implies specialized crews: electricians for AC, LV techs for CL2/CL4, laborers for penetrations",,,Already partially modeled (different labor roles per arch) — no change needed,None,
,,,,,,,,
RECOMMENDED INTEGRATION PRIORITIES,,,,,,,,
Priority 1 (Critical),Fix conduit cost scaling with power/size,"Current $1.77 flat rate massively underestimates AC pathway cost for anything above ¾-inch",,,,,"Increases AC cost 3-10× for Phase 3 material, widens AC vs CL4 gap"
Priority 2 (Critical),Add conductor count multiplier,"Single-wire pricing underestimates AC cable material by 3-5×",,,,,"Increases AC Phase 5 material, further favoring CL4"
Priority 3 (High),Update electrician rate to $31.11,"Current $43.90 overestimates AC labor; fixing this partially offsets Priority 1-2 increases",,,,,Reduces AC labor cost ~29%
Priority 4 (High),Add MER/primary distribution as AC-only adder,"CL2/CL4 don't need MER feeder — this is a major hidden AC cost (~$14k) the tool ignores",,,,,Adds significant AC-only cost
Priority 5 (High),Update feeder cable pull rate to 0.12 hrs/ft,"Current 1/15 (0.067) is too fast for feeder conductors per scope doc",,,,,Increases AC Phase 5 labor ~79%
Priority 6 (Medium),Update panel install hours to 10 hrs/panel,"Current formula gives ~4.5 hrs which is half the scope doc value",,,,,Increases AC Phase 4 labor
Priority 7 (Medium),Add transformer as explicit line item,"$4500 material + 16 hrs labor for step-down — not currently modeled",,,,,New AC Phase 4 item
Priority 8 (Low),Add designer/drafter and laborer roles,"More accurate role-based costing for BIM, submittals, penetrations",,,,,Refines Phase 1 and Phase 3 labor
